station_id,station_name,brand,address,lat,lng,first_seen_at,last_seen_at,snapshots_seen,days_seen_count,day_set,latest_fuel_types,fuel_types_ever,ever_had_U91,ever_had_E10,ever_had_E85,ever_had_P95,ever_had_P98,ever_had_DL,ever_had_PDL,ever_had_LPG,ever_had_EV,ever_had_B20
74,7-Eleven Artarmon,7-Eleven,"477 Pacific Highway, Artarmon NSW 2064",-33.810521,151.177429,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL,LPG","U91,E10,P95,P98,PDL,LPG",true,true,false,true,true,false,true,true,false,false
190,7-Eleven Ashfield,7-Eleven,"132 LIVERPOOL RD, ASHFIELD NSW 2131",-33.8905782,151.1295516,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","E10,P98,PDL,LPG","E10,P98,PDL,LPG",false,true,false,false,true,false,true,true,false,false
17139,7-Eleven Baulkham Hills,7-Eleven,"217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153",-33.7555124,150.963514,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL,LPG",true,true,false,true,true,false,true,true,false,false
201,7-Eleven Blacktown East,7-Eleven,"56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148",-33.780107,150.920677,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL,LPG","U91,E10,P98,PDL,LPG",true,true,false,false,true,false,true,true,false,false
208,7-Eleven Burwood,7-Eleven,"Cnr Parramatta & Shaftsbury Rds, Burwood NSW 2134",-33.869406,151.108603,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL,LPG","U91,E10,P95,P98,PDL,LPG",true,true,false,true,true,false,true,true,false,false
17119,7-Eleven Camperdown,7-Eleven,"198 Parramatta Rd, CAMPERDOWN NSW 2050",-33.886973,151.174134,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
167,7-Eleven Carlingford,7-Eleven,"243 Pennant Hills Road, Carlingford NSW 2118",-33.782875,151.045752,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL,LPG","U91,E10,P95,P98,PDL,LPG",true,true,false,true,true,false,true,true,false,false
184,7-Eleven Castle Hill,7-Eleven,"255 -257 Old Northern Road, Castle Hill NSW 2154",-33.734803,151.003582,2026-03-29T13:00:33,2026-04-05T00:26:14,20,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
215,7-Eleven Croydon Park,7-Eleven,"342 Georges River Road & Burwood Road, Croydon Park NSW 2133",-33.897617,151.099796,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
146,7-Eleven Croydon Park,7-Eleven,"45 Georges River Road, Croydon Park NSW 2133",-33.894381,151.111446,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
