station_id,station_name,brand,address,lat,lng,status,status_label,usual_fuel_types,usual_petrol_types,available_now,unavailable_now,usual_fuel_count,basis_fuel_count,unavailable_count,unavailable_ratio_pct,max_current_streak_days,completely_out_of_all_usual
2204,Ampol Foodary Concord,Ampol Foodary,"87-89 Parramatta Rd, CONCORD NSW 2137",-33.867895,151.099444,red,Critical outage,"E10,P95,P98,PDL,U91","E10,P95,P98,U91",U91,"E10,P95,P98",5,4,3,75.0,4,false
18249,Ampol Foodary Crows Nest,Ampol Foodary,"111-121 Falcon Street, CROWS NEST NSW 2065",-33.8286801,151.2060304,red,Critical outage,"E10,P95,P98,PDL,U91","E10,P95,P98,U91",U91,"E10,P95,P98",5,4,3,75.0,4,false
782,Ampol Foodary Northmead,Ampol Foodary,"98-100 Windsor Rd Cnr Lombard Rd, Northmead NSW 2152",-33.788196,150.994927,orange,Most fuels out,"E10,P95,P98,PDL,U91","E10,P95,P98,U91",U91,"E10,P95,P98",5,4,3,75.0,2,false
2436,Ampol Foodary Waitara,Ampol Foodary,"59-61 Pacific Highway, WAITARA NSW 2077",-33.710531,151.102447,yellow,Partial outage,"P95,P98,PDL,U91","P95,P98,U91",U91,"P95,P98",4,3,2,66.7,4,false
2362,Ampol Foodary Carlingford,Ampol Foodary,"131 Pennant Hills Rd, CARLINGFORD NSW 2118",-33.787648,151.027913,yellow,Partial outage,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,U91","P95,P98",5,4,2,50.0,2,false
17294,Ampol Foodary Woollahra,Ampol Foodary,"116-118 Old South Head Rd, WOOLLAHRA NSW 2025",-33.8896117,151.2553819,yellow,Partial outage,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,U91","P95,P98",5,4,2,50.0,2,false
359,BP Seven Hills,BP,"Abbott Road, Seven Hills NSW 2147",-33.767172,150.95023,yellow,Partial outage,"P98,PDL,U91","P98,U91",P98,U91,3,2,1,50.0,2,false
300,BP Mosman (0926),BP,"Cnr Avenue & Cowles Roads, Mosman NSW 2088",-33.832039,151.237292,yellow,Partial outage,"E10,P95,P98,PDL","E10,P95,P98","E10,P95",P98,4,3,1,33.3,3,false
833,Ampol Foodary Pendle Hill,Ampol Foodary,"602-606 Great Western Hwy, Pendle Hill NSW 2145",-33.808324,150.942036,yellow,Partial outage,"P95,P98,PDL,U91","P95,P98,U91","P98,U91",P95,4,3,1,33.3,2,false
348,BP Camperdown,BP,"Cnr Parramatta & Missenden Roads, Camperdown NSW 2050",-33.886251,151.179144,yellow,Partial outage,"P95,P98,PDL,U91","P95,P98,U91","P95,P98",U91,4,3,1,33.3,2,false
1768,BP Putney,BP,"236 Morrison Road, Putney NSW 2112",-33.823874,151.108405,yellow,Partial outage,"DL,P95,P98,U91","P95,P98,U91","P98,U91",P95,4,3,1,33.3,2,false
18286,Metro Petroleum Epping,Metro Fuel,"30 BRIDGE ST, EPPING NSW 2121",-33.7748061,151.0797363,yellow,Partial outage,"P95,P98,PDL,U91","P95,P98,U91","P95,P98",U91,4,3,1,33.3,1,false
17310,Ampol Foodary St Ives North,Ampol Foodary,"363 Mona Vale Road, ST IVES NORTH NSW 2075",-33.716381,151.173316,yellow,Partial outage,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P98,U91",P95,5,4,1,25.0,6,false
2242,Metro Petroleum Chester Hill,Metro Fuel,"172 Hector St, CHESTER HILL NSW 2162",-33.8889,151.005411,yellow,Partial outage,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P98,U91",P95,5,4,1,25.0,5,false
18468,Speedway Court Road,Speedway,"32 COURT RD, FAIRFIELD NSW 2165",-33.8701219,150.9581328,yellow,Partial outage,"DL,E10,E85,P98,PDL,U91","E10,E85,P98,U91","E10,P98,U91",E85,6,4,1,25.0,5,false
2608,Ampol Foodary Thornleigh,Ampol Foodary,"200-202 Pennant Hills Road, THORNLEIGH NSW 2120",-33.7266,151.08363,yellow,Partial outage,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,U91",P98,5,4,1,25.0,2,false
74,7-Eleven Artarmon,7-Eleven,"477 Pacific Highway, Artarmon NSW 2064",-33.810521,151.177429,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
190,7-Eleven Ashfield,7-Eleven,"132 LIVERPOOL RD, ASHFIELD NSW 2131",-33.8905782,151.1295516,green,All usual fuels available,"E10,LPG,P98,PDL","E10,P98","E10,P98",,4,2,0,0.0,0,false
17139,7-Eleven Baulkham Hills,7-Eleven,"217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153",-33.7555124,150.963514,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
208,7-Eleven Burwood,7-Eleven,"Cnr Parramatta & Shaftsbury Rds, Burwood NSW 2134",-33.869406,151.108603,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
17119,7-Eleven Camperdown,7-Eleven,"198 Parramatta Rd, CAMPERDOWN NSW 2050",-33.886973,151.174134,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
167,7-Eleven Carlingford,7-Eleven,"243 Pennant Hills Road, Carlingford NSW 2118",-33.782875,151.045752,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
146,7-Eleven Croydon Park,7-Eleven,"45 Georges River Road, Croydon Park NSW 2133",-33.894381,151.111446,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
215,7-Eleven Croydon Park,7-Eleven,"342 Georges River Road & Burwood Road, Croydon Park NSW 2133",-33.897617,151.099796,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
145,7-Eleven Drummoyne,7-Eleven,"271A Victoria Road, Drummoyne NSW 2047",-33.84723,151.151612,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
17317,7-Eleven Enmore,7-Eleven,"22 Stanmore Street, Enmore NSW 2042",-33.898417,151.169933,green,All usual fuels available,"E10,P98,U91","E10,P98,U91","E10,P98,U91",,3,3,0,0.0,0,false
227,7-Eleven Epping,7-Eleven,"246 Beecroft & Carlingford Roads, Epping NSW 2121",-33.770913,151.081199,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
76,7-Eleven Fairfield,7-Eleven,"320 Polding St, FAIRFIELD WEST NSW 2165",-33.8594672,150.922616,green,All usual fuels available,"E10,P95,P98,U91","E10,P95,P98,U91","E10,P95,P98,U91",,4,4,0,0.0,0,false
