fc_id,fc_name,fc_brand,fc_brand_group,fc_address_full,fc_street,fc_suburb,fc_state,fc_postcode,fc_lat,fc_lng,fc_fuel_types,fc_num_fuel_types,fc_price_DL_cents,fc_price_E10_cents,fc_price_E85_cents,fc_price_LPG_cents,fc_price_P95_cents,fc_price_P98_cents,fc_price_PDL_cents,fc_price_U91_cents,fc_has_price_outlier
2129,EG Ampol West Ryde,EG Ampol,Ampol,"924 Victoria Rd, West Ryde NSW 2114",924 Victoria Rd,West Ryde,NSW,2114,-33.810887,151.093485,"E10,P95,P98,PDL,U91",5,,222.2,,,239.2,248.2,307.9,224.2,false
2141,Powerfuel,Powerfuel,Powerfuel,"101 Blaxcell St, Granville NSW 2142",101 Blaxcell St,Granville,NSW,2142,-33.842551,151.010602,"DL,E10,P95,U91",4,295.9,225.5,,,255.5,,,227.5,false
2204,Ampol Foodary Concord,Ampol Foodary,Ampol,"87-89 Parramatta Rd, Concord NSW 2137",87-89 Parramatta Rd,Concord,NSW,2137,-33.867895,151.099444,"PDL,U91",2,,,,,,,309.4,227.9,false
2221,BP Guildford,BP,BP,"257 Guildford Rd, Guildford NSW 2161",257 Guildford Rd,Guildford,NSW,2161,-33.854370,150.988836,"DL,E10,P98,PDL,U91",5,302.5,227.5,,,,258.5,304.5,229.5,false
2242,Metro Petroleum Chester Hill,Metro Fuel,Metro,"172 Hector St, Chester Hill NSW 2162",172 Hector St,Chester Hill,NSW,2162,-33.888900,151.005411,"E10,P98,PDL,U91",4,,227.5,,,,255.5,309.5,229.5,false
2240,BP Haberfield,BP,BP,"95-97 Ramsay St, Haberfield NSW 2045",95-97 Ramsay St,Haberfield,NSW,2045,-33.881623,151.140229,"E10,P98,PDL,U91",4,,225.9,,,,253.9,309.9,228.9,false
2252,BP Silverwater,BP,BP,"Cnr Silverwater Road & Derby Street, Silverwater NSW 2128",Cnr Silverwater Road & Derby Street,Silverwater,NSW,2128,-33.837648,151.046763,"DL,E10,P95,P98,PDL",5,304.9,221.9,,,238.9,247.9,307.9,,false
2305,Ampol Foodary Strathfield South,Ampol Foodary,Ampol,"600 Liverpool Rd, Strathfield South NSW 2136",600 Liverpool Rd,Strathfield South,NSW,2136,-33.888188,151.074621,"E10,P95,P98,PDL,U91",5,,225.9,,,243.9,252.9,310.4,227.9,false
2338,Ampol Foodary Ermington,Ampol Foodary,Ampol,"560-562 Victoria Road, Ermington NSW 2115",560-562 Victoria Road,Ermington,NSW,2115,-33.813960,151.054799,"P95,P98,PDL,U91",4,,,,,243.9,252.9,312.4,227.9,false
2362,Ampol Foodary Carlingford,Ampol Foodary,Ampol,"131 Pennant Hills Rd, Carlingford NSW 2118",131 Pennant Hills Rd,Carlingford,NSW,2118,-33.787648,151.027913,"E10,P95,P98,U91",4,,225.9,,,243.9,252.9,,227.9,false
2374,Ampol Foodary Granville,Ampol Foodary,Ampol,"144 Parramatta Rd, Granville NSW 2142",144 Parramatta Rd,Granville,NSW,2142,-33.830266,151.010762,"E10,P95,P98,PDL,U91",5,,225.9,,,243.9,252.9,304.4,227.9,false
2436,Ampol Foodary Waitara,Ampol Foodary,Ampol,"59-61 Pacific Highway, Waitara NSW 2077",59-61 Pacific Highway,Waitara,NSW,2077,-33.710531,151.102447,"P95,P98,PDL,U91",4,,,,,243.9,252.9,314.4,227.9,false
2452,Metro Yagoona,Metro Fuel,Metro,"585 Hume Hwy, Yagoona NSW 2199",585 Hume Hwy,Yagoona,NSW,2199,-33.906106,151.014058,"E10,P95,P98,PDL,U91",5,,220.7,,,235.7,245.7,302.7,222.7,false
