station_id,station_name,brand,address,lat,lng,fuel_type,days_observed,days_available,days_unavailable,days_station_missing,first_unavailable_day,last_unavailable_day,longest_unavailable_streak_days,current_unavailable_streak_days,currently_unavailable,unavailability_rate_observed,latest_truth_fuel_types,fuel_types_ever
18468,Speedway Court Road,Speedway,"32 COURT RD, FAIRFIELD NSW 2165",-33.8701219,150.9581328,E85,12,1,11,0,2026-03-30,2026-04-18,11,11,true,0.9167,"U91,E10,P98,DL,PDL","U91,E10,E85,P98,DL,PDL"
17977,Coles Express Lansvale West,Coles Express,"240 Hume Highway, LANSVALE NSW 2166",-33.89796,150.952614,DL,12,2,10,0,2026-03-29,2026-04-14,10,0,false,0.8333,"U91,E10,P95,P98,DL,PDL","U91,E10,P95,P98,DL,PDL"
402,Shell Reddy  Express Parramatta,Reddy Express,"88 Victoria Rd (Cnr Buller St), Parramatta NSW 2150",-33.808902,151.012191,DL,12,2,10,0,2026-03-29,2026-04-14,10,0,false,0.8333,"E10,P95,P98,DL","E10,P95,P98,DL"
813,Shell Reddy Express Drummoyne,Reddy Express,"39- 51 Victoria Rd, Drummoyne NSW 2047",-33.856044,151.158938,DL,12,2,10,0,2026-03-29,2026-04-14,10,0,false,0.8333,"E10,P98,DL","E10,P98,DL"
413,Shell Reddy Express Dundas,Reddy Express,"199-203 Kissing Point Rd (Cnr Kirby St), Dundas NSW 2117",-33.799108,151.045362,DL,12,2,10,0,2026-03-29,2026-04-14,10,0,false,0.8333,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
55,Shell Reddy Express Guildford,Reddy Express,"295 Woodville Rd, Guildford NSW 2161",-33.850752,150.996951,DL,12,2,10,0,2026-03-29,2026-04-14,10,0,false,0.8333,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
924,Shell Reddy Express North Ryde,Reddy Express,"275 Lane Cove Rd, North Ryde NSW 2113",-33.785039,151.128758,DL,12,2,10,0,2026-03-29,2026-04-14,10,0,false,0.8333,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
502,Shell Reddy Express North Ryde Wicks,Reddy Express,"96 Wicks Road, North Ryde NSW 2113",-33.794129,151.126785,DL,12,2,10,0,2026-03-29,2026-04-14,10,0,false,0.8333,"U91,E10,P98,DL","U91,E10,P98,DL"
591,Shell Reddy Express Thornleigh,Reddy Express,"188-190 Pennant Hills Rd, Thornleigh NSW 2120",-33.725031,151.085021,DL,12,2,10,0,2026-03-29,2026-04-14,10,0,false,0.8333,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
602,Shell Reddy Express Wahroonga,Reddy Express,"1601 Pacific Hwy & Coonanbarra Rd, Wahroonga NSW 2076",-33.719557,151.11588,DL,12,2,10,0,2026-03-29,2026-04-14,10,0,false,0.8333,"U91,E10,P95,P98,DL,PDL","U91,E10,P95,P98,DL,PDL"
52,Shell Reddy  Express Marsfield,Reddy Express,"189 Epping Rd & Culloden Rd, Marsfield NSW 2122",-33.775212,151.105289,DL,11,2,9,1,2026-03-30,2026-04-14,9,0,false,0.8182,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
802,Shell Reddy Express Annandale,Reddy Express,"124-126 Johnston Street, Annandale NSW 2038",-33.880918,151.170629,DL,11,2,9,1,2026-03-30,2026-04-14,9,0,false,0.8182,"E10,P95,P98,DL","E10,P95,P98,DL"
65,Shell Reddy Express Bass Hill,Reddy Express,"884-888 Hume Hwy (Cnr Strickland St), Bass Hill NSW 2197",-33.89964,150.997487,DL,12,3,9,0,2026-03-30,2026-04-14,9,0,false,0.7500,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
613,Shell Reddy  Express St Ives,Reddy Express,"179-181 Mona Vale Rd, St Ives NSW 2075",-33.731206,151.157571,DL,12,3,9,0,2026-03-29,2026-04-14,7,0,false,0.7500,"U91,E10,P95,P98,DL,PDL","U91,E10,P95,P98,DL,PDL"
17139,7-Eleven Baulkham Hills,7-Eleven,"217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153",-33.7555124,150.963514,LPG,12,4,8,0,2026-04-02,2026-04-18,8,8,true,0.6667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL,LPG"
16915,Ampol Foodary Lansvale,Ampol Foodary,"141-151 Hume Highway Cnr Chadderton St, LANSVALE NSW 2166",-33.894328,150.957208,E10,12,4,8,0,2026-03-29,2026-04-05,8,0,false,0.6667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17165,Ampol Foodary Rydalmere,Ampol Foodary,"309 Victoria Rd, RYDALMERE NSW 2116",-33.8119597,151.0371167,E10,12,4,8,0,2026-03-29,2026-04-05,8,0,false,0.6667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
327,BP Hornsby,BP,"Cnr George St and Burdett St, Hornsby NSW 2077",-33.702337,151.099325,P95,12,4,8,0,2026-03-29,2026-04-05,8,0,false,0.6667,"U91,P95,P98,PDL","U91,P95,P98,PDL"
88,Coles Express Yagoona,Coles Express,"112 Rookwood (Cnr Brunker) Rds, Yagoona NSW 2199",-33.898673,151.037094,DL,11,3,8,1,2026-03-31,2026-04-14,8,0,false,0.7273,"E10,P95,P98,DL","E10,P95,P98,DL"
45,Shell Reddy Express Enfield,Reddy Express,"630-634 Liverpool Road, Strathfield South NSW 2136",-33.88688,151.071135,DL,12,4,8,0,2026-03-30,2026-04-13,8,0,false,0.6667,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
635,Shell Reddy Express Lane Cove,Reddy Express,"378 Pacific Hwy (Cnr Allison Ave), Lane Cove NSW 2066",-33.81408,151.176944,DL,10,2,8,2,2026-03-31,2026-04-14,8,0,false,0.8000,"E10,P95,P98,DL","E10,P95,P98,DL"
2242,Metro Petroleum Chester Hill,Metro Fuel,"172 Hector St, CHESTER HILL NSW 2162",-33.8889,151.005411,P95,12,5,7,0,2026-03-30,2026-04-05,7,0,false,0.5833,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17236,Ampol Foodary Guildford,Ampol Foodary,"636-644 Woodville Rd, OLD GUILDFORD NSW 2161",-33.8665036,150.9881451,E10,11,4,7,1,2026-03-29,2026-04-05,5,0,false,0.6364,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
1768,BP Putney,BP,"236 Morrison Road, Putney NSW 2112",-33.823874,151.108405,P95,11,4,7,1,2026-03-29,2026-04-13,5,0,false,0.6364,"U91,P95,P98,DL","U91,P95,P98,DL"
2362,Ampol Foodary Carlingford,Ampol Foodary,"131 Pennant Hills Rd, CARLINGFORD NSW 2118",-33.787648,151.027913,PDL,12,5,7,0,2026-03-29,2026-04-13,4,0,false,0.5833,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17329,Ampol Foodary Seven Hills,Ampol Foodary,"38 Abbott Rd, SEVEN HILLS NSW 2147",-33.7669285,150.9548252,E10,10,3,7,2,2026-03-29,2026-04-18,4,4,true,0.7000,"P95,P98,PDL","E10,P95,P98,PDL"
2204,Ampol Foodary Concord,Ampol Foodary,"87-89 Parramatta Rd, CONCORD NSW 2137",-33.867895,151.099444,E10,12,6,6,0,2026-03-31,2026-04-05,6,0,false,0.5000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
2436,Ampol Foodary Waitara,Ampol Foodary,"59-61 Pacific Highway, WAITARA NSW 2077",-33.710531,151.102447,E10,10,4,6,2,2026-03-31,2026-04-05,6,0,false,0.6000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
301,BP Naremburn,BP,"169 Willoughby Road, Naremburn NSW 2065",-33.820024,151.201159,U91,10,4,6,2,2026-03-31,2026-04-05,6,0,false,0.6000,"U91,P95,P98,PDL","U91,P95,P98,PDL"
391,Shell Reddy  Express Northmead,Reddy Express,"197 Windsor Road, Northmead NSW 2152",-33.7774,151.000088,DL,12,6,6,0,2026-04-02,2026-04-14,6,0,false,0.5000,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
12,Shell Reddy Express Lansvale,Reddy Express,"65-99 Hume Highway, Canley Vale NSW 2166",-33.893006,150.960593,DL,12,6,6,0,2026-04-02,2026-04-14,6,0,false,0.5000,"E10,P98,DL","E10,P98,DL"
73,Shell Reddy Express Smithfield,Reddy Express,"678 The Horsley Drv (Cnr Cumberland Hwy), Smithfield NSW 2164",-33.85369,150.940106,DL,8,2,6,4,2026-04-02,2026-04-14,6,0,false,0.7500,"E10,P95,P98,DL","E10,P95,P98,DL"
2338,Ampol Foodary Ermington,Ampol Foodary,"560-562 Victoria Road, ERMINGTON NSW 2115",-33.81396,151.054799,E10,9,4,5,3,2026-04-01,2026-04-05,5,0,false,0.5556,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17581,Ampol Foodary Five Dock,Ampol Foodary,"Ramsay Rd & Fairlight Street, FIVE DOCK NSW 2046",-33.870023,151.130434,P95,10,5,5,2,2026-03-31,2026-04-04,5,0,false,0.5000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17581,Ampol Foodary Five Dock,Ampol Foodary,"Ramsay Rd & Fairlight Street, FIVE DOCK NSW 2046",-33.870023,151.130434,P98,10,5,5,2,2026-03-31,2026-04-04,5,0,false,0.5000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17310,Ampol Foodary St Ives North,Ampol Foodary,"363 Mona Vale Road, ST IVES NORTH NSW 2075",-33.716381,151.173316,P95,12,7,5,0,2026-03-29,2026-04-02,5,0,false,0.4167,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
300,BP Mosman (0926),BP,"Cnr Avenue & Cowles Roads, Mosman NSW 2088",-33.832039,151.237292,P98,10,5,5,2,2026-04-01,2026-04-05,5,0,false,0.5000,"E10,P95,P98,PDL","E10,P95,P98,PDL"
262,7-Eleven Ryde,7-Eleven,"326-328 Blaxland Road, Ryde NSW 2112",-33.802513,151.100336,LPG,12,8,4,0,2026-04-13,2026-04-18,4,4,true,0.3333,"U91,E10,P98,PDL","U91,E10,P98,PDL,LPG"
