match_status,match_distance_m,match_confidence,google_name,google_address_full,google_street,google_suburb,google_state,google_lat,google_lng,google_address_missing,fc_id,fc_name,fc_brand,fc_brand_group,fc_address_full,fc_street,fc_suburb,fc_state,fc_postcode,fc_lat,fc_lng,fc_fuel_types,fc_num_fuel_types,fc_price_DL_cents,fc_price_E10_cents,fc_price_E85_cents,fc_price_LPG_cents,fc_price_P95_cents,fc_price_P98_cents,fc_price_PDL_cents,fc_price_U91_cents,fc_has_price_outlier
matched,0.0,high,EG Ampol Marsfield,"Cnr Epping & Balaclava Road, Marsfield NSW 2122",Cnr Epping & Balaclava Road,Marsfield NSW 2122,,-33.778378,151.107365,false,544,EG Ampol Marsfield,EG Ampol,Ampol,"Cnr Epping & Balaclava Road, Marsfield NSW 2122",Cnr Epping & Balaclava Road,Marsfield,NSW,2122,-33.778378,151.107365,"P95,P98,PDL,U91",4,,,,,201.9,210.9,273.9,185.9,false
matched,0.0,high,Ampol Foodary Carlingford,"131 Pennant Hills Rd, Carlingford NSW 2118",131 Pennant Hills Rd,Carlingford NSW 2118,,-33.787648,151.027913,false,2362,Ampol Foodary Carlingford,Ampol Foodary,Ampol,"131 Pennant Hills Rd, Carlingford NSW 2118",131 Pennant Hills Rd,Carlingford,NSW,2118,-33.787648,151.027913,"E10,P95,P98,PDL,U91",5,,180.9,,,198.9,207.9,261.9,182.9,false
matched,0.0,high,7-Eleven Carlingford,"243 Pennant Hills Road, Carlingford NSW 2118",243 Pennant Hills Road,Carlingford NSW 2118,,-33.782875,151.045752,false,167,7-Eleven Carlingford,7-Eleven,7-Eleven,"243 Pennant Hills Road, Carlingford NSW 2118",243 Pennant Hills Road,Carlingford,NSW,2118,-33.782875,151.045752,"E10,LPG,P95,P98,PDL,U91",6,,187.9,,106.9,208.9,217.9,289.9,189.9,false
matched,0.0,high,BP Carlingford,"712 Pennant Hills Road, Carlingford NSW 2118",712 Pennant Hills Road,Carlingford NSW 2118,,-33.763701,151.047355,false,281,BP Carlingford,BP,BP,"712 Pennant Hills Road, Carlingford NSW 2118",712 Pennant Hills Road,Carlingford,NSW,2118,-33.763701,151.047355,"E10,P95,P98,PDL",4,,189.9,,,209.9,218.9,279.9,,false
matched,0.0,high,Mobil 1 Carlingford Car Care,"482 North Rocks Rd, Carlingford NSW 2118",482 North Rocks Rd,Carlingford NSW 2118,,-33.765073,151.057902,false,1502,Mobil 1 Carlingford Car Care,Mobil 1 Carlingford Car Care,Mobil,"482 North Rocks Rd, Carlingford NSW 2118",482 North Rocks Rd,Carlingford,NSW,2118,-33.765073,151.057902,"E10,P95,P98,PDL,U91",5,,185.9,,,202.9,211.9,285.9,187.9,false
matched,0.0,high,North Ryde Petroleum,"118 Coxs Rd, North Ryde NSW 2113",118 Coxs Rd,North Ryde NSW 2113,,-33.801410,151.130360,false,18171,North Ryde Petroleum,Independent,Independent,"118 Coxs Rd, North Ryde NSW 2113",118 Coxs Rd,North Ryde,NSW,2113,-33.801410,151.130360,"P95,PDL,U91",3,,,,,205.4,,269.4,189.7,false
matched,0.0,high,Metro Petroleum Willoughby,"599 Willoughby Rd, Willoughby NSW 2068",599 Willoughby Rd,Willoughby NSW 2068,,-33.803882,151.199745,false,17232,Metro Willoughby,Metro Fuel,Metro,"599 Willoughby Rd, Willoughby NSW 2068",599 Willoughby Rd,Willoughby,NSW,2068,-33.803882,151.199745,"E10,P98,PDL",3,,191.9,,,,220.9,285.9,,false
matched,0.0,high,Ampol Foodary Crows Nest,"111-121 Falcon Street, Crows Nest NSW 2065",111-121 Falcon Street,Crows Nest NSW 2065,,-33.828680,151.206030,false,18249,Ampol Foodary Crows Nest,Ampol Foodary,Ampol,"111-121 Falcon Street, Crows Nest NSW 2065",111-121 Falcon Street,Crows Nest,NSW,2065,-33.828680,151.206030,"E10,P95,P98,PDL,U91",5,,183.9,,,201.9,210.9,272.9,185.9,false
matched,0.0,high,Speedway Roseville,"20-22 Babbage Rd, Roseville NSW 2069",20-22 Babbage Rd,Roseville NSW 2069,,-33.778021,151.194555,false,18422,Speedway Roseville,Speedway,Speedway,"20-22 Babbage Rd, Roseville NSW 2069",20-22 Babbage Rd,Roseville,NSW,2069,-33.778021,151.194555,"E10,P98,PDL,U91",4,,179.9,,,,211.9,265.9,181.9,false
matched,0.0,high,Metro Petroleum Thornleigh,"169-171 Pennant Hills Rd, Thornleigh NSW 2120",169-171 Pennant Hills Rd,Thornleigh NSW 2120,,-33.724925,151.088261,false,19642,Metro Petroleum Thornleigh,Metro Fuel,Metro,"169-171 Pennant Hills Rd, Thornleigh NSW 2120",169-171 Pennant Hills Rd,Thornleigh,NSW,2120,-33.724925,151.088261,"DL,E10,P98,PDL,U91",5,269.9,179.9,,,,209.9,276.9,185.9,false
matched,0.0,high,Speedway Cammeray,"330 Miller St, Cammeray NSW 2062",330 Miller St,Cammeray NSW 2062,,-33.828713,151.208810,false,2714,Speedway Cammeray,Speedway,Speedway,"330 Miller St, Cammeray NSW 2062",330 Miller St,Cammeray,NSW,2062,-33.828713,151.208810,"DL,P98,U91",3,269.9,,,,,211.9,,186.9,false
matched,0.0,high,BP Silverwater South,"51 Egerton St, Silverwater NSW 2128",51 Egerton St,Silverwater NSW 2128,,-33.836306,151.047890,false,2711,BP Silverwater South,BP,BP,"51 Egerton St, Silverwater NSW 2128",51 Egerton St,Silverwater,NSW,2128,-33.836306,151.047890,"E10,LPG,P98,PDL,U91",5,,187.9,,104.9,,214.9,279.9,189.9,false
matched,0.0,high,7-Eleven Camperdown,"198 Parramatta Rd, Camperdown NSW 2050",198 Parramatta Rd,Camperdown NSW 2050,,-33.886973,151.174134,false,17119,7-Eleven Camperdown,7-Eleven,7-Eleven,"198 Parramatta Rd, Camperdown NSW 2050",198 Parramatta Rd,Camperdown,NSW,2050,-33.886973,151.174134,"E10,P95,P98,PDL,U91",5,,191.9,,,208.9,217.9,289.9,193.9,false
